ASSESS_ID,AU_NAME,BeneficialUse,CYCLE_LAST_ASSESSED,CycleFirstListed,ATTAINS_ParamName,R3172ParameterName,PreviousAssessment
UT-L-14060007-005_00,Scofield Reservoir,3A,2016,1994,"PHOSPHORUS, TOTAL",Total Phosphorus as P,NS
UT-L-14060010-008_00,Red Fleet Reservoir,3A,2016,2010,TEMPERATURE,"Temperature, water",NS
UT-L-14060010-002_00,Brough Reservoir,3A,2016,2008,TEMPERATURE,"Temperature, water",NS
UT-L-14070005-011_00,Wide Hollow Reservoir,3A,2016,2008,TEMPERATURE,"Temperature, water",NS
UT-L-14080203-002_00,Monticello Lake,3A,2016,2006,PH,pH,NS
UT-L-14060003-003_00,Pyramid Lake,3A,2016,NA,NA,NA,FS
UT-L-16010201-003_00,Bear Lake,3A,2016,NA,NA,NA,FS
UT-L-15010008-008_00,Baker Dam Reservoir,3A,2016,2006,"PHOSPHORUS, TOTAL",Total Phosphorus as P,NS
UT-L-14040107-004_00,Bridger Lake,3A,2016,1996,DISSOLVED OXYGEN,Dissolved oxygen (DO),NS
UT-L-14060004-001_00,Strawberry Reservoir,3A,2016,2006,"PHOSPHORUS, TOTAL",Total Phosphorus as P,NS
UT-L-16030007-028_00,Puffer Lake,3A,2016,2006,PH,pH,NS
UT-L-14070003-018_00,Cook Lake,3A,2016,NA,NA,NA,FS
UT-L-14040106-026_00,Crouse Reservoir,3A,2016,NA,NA,NA,ID
UT-L-14070003-010_00,Johnson Valley Reservoir,3A,2016,1992,"PHOSPHORUS, TOTAL",Total Phosphorus as P,NS
UT-L-14060009-017_00,Joes Valley Reservoir,3A,2016,NA,NA,NA,FS
UT-L-16010101-030_00,Whitney Reservoir,3A,2016,NA,NA,NA,FS
UT-L-14060007-005_00,Scofield Reservoir,3A,2016,2006,PH,pH,NS
UT-L-15010008-008_00,Baker Dam Reservoir,3A,2016,2006,DISSOLVED OXYGEN,Dissolved oxygen (DO),NS
UT-L-14060010-003_00,Ashley Twin Lakes,3A,2016,NA,NA,NA,NA
UT-L-14060010-008_00,Red Fleet Reservoir,3A,2016,2006,DISSOLVED OXYGEN,Dissolved oxygen (DO),NS
UT-L-16010204-033_00,Mantua Reservoir,3A,2016,1994,PH,pH,NS
UT-L-14040106-034_00,Calder Reservoir,3A,2016,1996,"PHOSPHORUS, TOTAL",Total Phosphorus as P,NS
UT-L-14070003-044_00,Lower Bowns Reservoir,3A,2016,2012,"PHOSPHORUS, TOTAL",Total Phosphorus as P,NS
UT-L-16010203-009_00,Porcupine Reservoir,3A,2016,2008,TEMPERATURE,"Temperature, water",NS
UT-L-14070003-044_00,Lower Bowns Reservoir,3A,2016,2012,TEMPERATURE,"Temperature, water",NS
UT-L-15010008-008_00,Baker Dam Reservoir,3A,2016,1992,TEMPERATURE,"Temperature, water",NS
UT-L-14060004-006_00,Starvation Reservoir,3A,2016,NA,NA,NA,ID
UT-L-16020101-001_00,Echo Reservoir,3A,2016,1994,"PHOSPHORUS, TOTAL",Total Phosphorus as P,NS
UT-L-14040106-002_00,Spirit Lake,3A,2016,NA,NA,NA,FS
UT-L-14040107-007_00,Stateline Reservoir,3A,2016,NA,NA,NA,FS
UT-L-14060009-018_00,Huntington Reservoir,3A,2016,NA,NA,NA,FS
UT-L-16010204-033_00,Mantua Reservoir,3A,2016,2008,TEMPERATURE,"Temperature, water",NS
UT-L-14060003-012_00,Hoover Lake,3A,2016,NA,NA,NA,FS
UT-L-14070003-015_00,Mill Meadow Reservoir,3A,2016,2012,PH,pH,NS
UT-L-14040106-034_00,Calder Reservoir,3A,2016,2016,PH,pH,NS
UT-L-16020204-026_00,Little Dell Reservoir,3A,2016,NA,NA,NA,FS
UT-L-16020101-003_00,Lost Creek Reservoir,3A,2016,NA,NA,NA,FS
UT-L-14030004-001_00,Dark Canyon Lake,3A,2016,NA,NA,NA,FS
UT-L-14060010-006_00,Steinaker Reservoir,3A,2016,2008,TEMPERATURE,"Temperature, water",NS
UT-L-14070003-006_00,Fish Lake,3A,2016,NA,NA,NA,FS
UT-L-16020201-006_00,Silver Lake Flat Reservoir,3A,2016,NA,NA,NA,FS
UT-L-14070003-019_00,Forsyth Reservoir,3A,2016,1992,"PHOSPHORUS, TOTAL",Total Phosphorus as P,NS
UT-L-14060003-011_00,Marshall Lake,3A,2016,NA,NA,NA,FS
UT-L-14070003-027_00,Donkey Reservoir,3A,2016,NA,NA,NA,FS
UT-L-16030003-005_00,Barney Lake,3A,2016,NA,NA,NA,NA
