"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900001","UCASE Field Blank-Bear River Watershed -to be finalized","River/Stream","Field Blank",16020204,NA,NA,NA,NA,40.774130087,-111.94788924,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"2","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900200","SALT CREEK WATERFOWL MANAGEMENT AREA","River/Stream",NA,16010204,NA,NA,NA,NA,41.637706873,-112.267179675,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"3","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900380","UNNAMED STREAM 0.6 MI W OF WILLARD AB WILLARD RES","River/Stream",NA,16020102,NA,NA,NA,NA,41.407991413,-112.050497012,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"4","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900420","BIG CK BL MANTUA RES","River/Stream",NA,16010204,NA,NA,NA,NA,41.501324755,-111.943560388,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"5","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900430","MANTUA RES 100M OFF BOAT RAMP 04","Lake","Duplicate of 4900440",16010204,NA,NA,NA,NA,41.501387664,-111.940278386,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"6","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900440","MANTUA RES AB DAM 01","Lake",NA,16010204,NA,NA,NA,NA,41.501327257,-111.941056305,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"7","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900442","Mantua Reservoir at boat ramp","Lake",NA,16010204,NA,NA,NA,NA,41.50032,-111.94189,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"8","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900444","Mantua Reservoir at Maple Creek inlet","Lake",NA,16010204,NA,NA,NA,NA,41.498033,-111.927,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"9","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900445","QA/QC Duplicate of Mantua Reservoir","Lake","Duplicate of 4900444",16010204,NA,NA,NA,NA,41.498033,-111.927,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"10","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900450","MANTUA RES S MIDLAKE 02","Lake",NA,16010204,NA,NA,NA,NA,41.50132527,-111.92688224,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"11","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900455","MANTUA RES ALONG S SHORE (HG FISH TISSUE)","Lake",NA,16010204,NA,NA,NA,NA,41.49868654,-111.93683672,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"12","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900460","MANTUA RES N MIDLAKE 03","Lake",NA,16010204,NA,NA,NA,NA,41.508272228,-111.929941052,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"13","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900465","MANTUA RES ALONG N SHORE (HG FISH TISSUE)","Lake",NA,16010204,NA,NA,NA,NA,41.510965815,-111.935443948,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"14","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900470","DAM CK AB MANTUA RES","River/Stream",NA,16010204,NA,NA,NA,NA,41.514658335,-111.928834068,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"15","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900480","MANTUA FISH HATCHERY","Facility Other",NA,16010204,NA,NA,NA,NA,41.487161215,-111.927446969,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"16","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900490","MANTUA FISH HATCHERY INFLOW (MAPLE SPRINGS)","Spring",NA,16010204,NA,NA,NA,NA,41.482716202,-111.93022237,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"17","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900500","DAM CREEK @ SOURCE","River/Stream",NA,16010204,NA,NA,NA,NA,41.518542729,-111.930783178,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"18","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900510","MAPLE CK AB MANTUA RES","River/Stream",NA,16010204,NA,NA,NA,NA,41.496616629,-111.926611428,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"19","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900520","CLAY VALLEY DRAINAGE AB MAPLE CK","Canal Drainage",NA,16010204,NA,NA,NA,NA,41.491603479,-111.919388129,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"20","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900530","WEST FLOW FROM MAPLE SPRINGS","River/Stream",NA,16010204,NA,NA,NA,NA,41.496602646,-111.920501137,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"21","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900540","BOX ELDER CK DIVERSION AB MAPLE CK","River/Stream",NA,16010204,NA,NA,NA,NA,41.491633356,-111.926887816,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"22","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900550","BUNDERSON SPRING","River/Stream",NA,16010204,NA,NA,NA,NA,41.511597927,-111.924104832,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"23","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900560","PUMP STATION AB MANTUA RES","River/Stream",NA,16010204,NA,NA,NA,NA,41.507992217,-111.945502526,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"24","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900600","CLAY CK AB MANTUA RES","River/Stream",NA,16010204,NA,NA,NA,NA,41.496662913,-111.919723253,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"25","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900750","BEAR-TRIP BLANK","River/Stream","Trip Blank",16020204,NA,NA,NA,NA,40.774130087,-111.94788924,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
