ASSESS_ID,AU_EPACat,PARAM_NAME,R3172ParameterName
UT-L-14040106-033_00,5,TEMPERATURE,Max. Temperature
UT-L-14040106-033_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14040106-033_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020201-004_02,5,"AMMONIA, TOTAL",Total Ammonia as N
UT-L-14040106-034_00,5,TEMPERATURE,Max. Temperature
UT-L-14040106-034_00,5,PH,pH
UT-L-14040106-034_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14040106-034_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14040107-004_00,5,PH,pH
UT-L-14040107-004_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14040107-005_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14040107-006_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14040107-006_00,5,TEMPERATURE,Max. Temperature
UT-L-14060003-230_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14060003-230_00,5,TEMPERATURE,Max. Temperature
UT-L-14060003-293_00,5,PH,pH
UT-L-14060004-001_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14060004-001_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14060004-004_00,5,PH,pH
UT-L-14060004-004_00,5,ARSENIC,Arsenic
UT-L-14060004-004_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT-L-14060004-004_00,5,BORON,Boron
UT-L-14060007-004_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14060007-005_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14060007-005_00,4A,PH,pH
UT-L-14060007-005_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14060010-001_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14060010-001_00,5,PH,pH
UT-L-14060010-002_00,5,TEMPERATURE,Max. Temperature
UT-L-14060010-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14060010-006_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14060010-006_00,5,TEMPERATURE,Max. Temperature
UT-L-14060010-008_00,5,TEMPERATURE,Max. Temperature
UT-L-14060010-008_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14060010-009_00,5,SELENIUM,Selenium
UT-L-14070003-010_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14070003-015_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14070003-015_00,5,PH,pH
UT-L-14070003-019_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14070003-019_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14070003-044_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14070003-044_00,5,TEMPERATURE,Max. Temperature
UT-L-14070003-044_00,5,PH,pH
UT-L-14070003-044_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14070005-011_00,5,PH,pH
UT-L-14070005-011_00,5,TEMPERATURE,Max. Temperature
UT-L-14070005-011_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14070006-001_00,5,PH,pH
UT-L-14080201-002_00,5,TEMPERATURE,Max. Temperature
UT-L-14080203-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14080203-002_00,5,PH,pH
UT-L-15010008-001_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-15010008-001_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-15010008-008_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-15010008-008_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-15010008-008_00,5,TEMPERATURE,Max. Temperature
UT-L-16010202-002_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16010202-002_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16010202-013_00,5,TEMPERATURE,Max. Temperature
UT-L-16010202-013_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16010202-013_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16010203-005_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16010203-005_00,5,TEMPERATURE,Max. Temperature
UT-L-16010203-005_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16010203-009_00,5,TEMPERATURE,Max. Temperature
UT-L-16010203-012_00,5,PH,pH
UT-L-16010203-012_00,5,TEMPERATURE,Max. Temperature
UT-L-16010203-012_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16010204-033_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16010204-033_00,5,TEMPERATURE,Max. Temperature
UT-L-16010204-033_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16010204-033_00,5,PH,pH
UT-L-16020101-001_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020101-001_00,5,TEMPERATURE,Max. Temperature
UT-L-16020101-001_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16020101-002_00,5,TEMPERATURE,Max. Temperature
UT-L-16020101-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020102-014_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16020102-014_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020102-014_00,5,TEMPERATURE,Max. Temperature
UT-L-16020102-020_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020102-020_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16020102-020_00,5,TEMPERATURE,Max. Temperature
UT14060007-007_00,5,"AMMONIA, TOTAL",Total Ammonia as N
UT-L-16020201-004_01,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT-L-16020201-004_01,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16010203-008_00,5,"AMMONIA, TOTAL",Total Ammonia as N
UT-L-16020201-004_02,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16020201-004_02,5,PH,pH
UT16020102-001_00,5,"AMMONIA, TOTAL",Total Ammonia as N
UT16020202-027_00,5,"AMMONIA, TOTAL",Total Ammonia as N
UT-L-16020202-001_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT-L-16020202-002_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16020202-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020202-002_00,5,TEMPERATURE,Max. Temperature
UT-L-16020203-001_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020203-001_00,5,TEMPERATURE,Max. Temperature
UT-L-16020203-003_00,5,PH,pH
UT-L-16020203-004_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16020203-004_00,5,PH,pH
UT-L-16020304-003_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT-L-16030001-001_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030001-001_00,5,PH,pH
UT-L-16030001-006_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030001-006_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030001-011_00,5,TEMPERATURE,Max. Temperature
UT-L-16030001-011_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030002-004_00,5,TEMPERATURE,Max. Temperature
UT-L-16030002-004_00,5,PH,pH
UT-L-16030002-004_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030002-005_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030002-005_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030002-005_00,5,PH,pH
UT-L-16030002-007_00,5,PH,pH
UT-L-16030002-011_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030003-006_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030003-006_00,5,PH,pH
UT-L-16030004-001_00,5,PH,pH
UT-L-16030004-001_00,5,TEMPERATURE,Max. Temperature
UT-L-16030004-001_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030004-001_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030004-005_00,5,TEMPERATURE,Max. Temperature
UT-L-16030006-002_00,5,PH,pH
UT-L-16030006-002_00,5,TEMPERATURE,Max. Temperature
UT-L-16030006-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030006-008_00,5,TEMPERATURE,Max. Temperature
UT-L-16030006-008_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030006-008_00,5,MERCURY IN FISH TISSUE,Fish Tissue (Mercury)
UT-L-16030006-008_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030006-019_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030007-011_00,5,TEMPERATURE,Max. Temperature
UT-L-16030007-011_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030007-011_00,5,PH,pH
